altitude,temperature,wind_direction,wind_speed,visibility,rain,humidity,pressure,weather_class
9853.617997,-4.32495897,263.958458,29.350338117,23671.33022,0.0,100.0,20.55875548,Orages
9838.033332,-4.295366126,263.9544093,29.32494343744,23667.42838,0.0,100.0,20.5675719,Orages
9827.543464,-4.275646066,263.9516503,29.307952467160003,23460.53201,0.0,100.0,20.57928963,Frontière d'une zone à haute pression
9821.037527,-4.444415092,263.9500471,29.29865644576,6082.797656,1.0,100.0,20.58091891,Frontière d'une zone à haute pression
9821.425426,-4.465269053,263.9509446,29.30864115188,1100.0,1.0,100.0,20.57027404,Frontière d'une zone à haute pression
9837.441118,-4.516303647,263.9558556,29.34264779812,1100.0,1.0,100.0,20.55485526,Frontière d'une zone à haute pression
9857.330593,-4.573187416,263.9616047,29.380370889800002,1100.0,1.0,100.0,20.5399466,Frontière d'une zone à haute pression
9875.611723,-4.62277723,263.9659374,29.405313477640004,1100.0,1.0,100.0,20.53738448,Frontière d'une zone à haute pression
9877.105877,-4.63906282,263.9657169,29.401358346440002,1100.0,1.0,100.0,20.54368174,Frontière d'une zone à haute pression
9869.72436,-4.639671097,263.9632787,29.38424281064,1100.0,1.0,100.0,20.55215838,Frontière d'une zone à haute pression
9859.540563,-4.635038738,263.9601538,29.36152140048,1100.0,1.0,100.0,20.56369534,Frontière d'une zone à haute pression
9845.778889,-4.625294489,263.9563979,29.33741149036,1100.0,1.0,100.0,20.57203848,Frontière d'une zone à haute pression
9837.034678,-4.628708448,263.9546028,30.94592632792,15782.60903,0.0,100.0,20.65607222,Frontière d'une zone à haute pression
9832.627462,7.664141438,180.1227178,30.94592632792,15782.60903,0.0,100.0,20.65022586,Secteur chaud
9842.346212,7.640445796,180.1227178,30.94592632792,15782.60903,0.0,100.0,20.63449508,Secteur chaud
9863.681231,7.597721424,180.1227178,30.94592632792,15782.60903,0.0,100.0,21.43859034,Secteur chaud
9886.257771,8.309492972,264.1612487,29.475913643720002,41912.10525,0.0,100.0,21.40425869,Frontière d'un anticyclone
9937.575781,8.193198557,263.987727,29.576140124160002,41755.14744,0.0,100.0,21.30896578,Frontière d'un anticyclone
10063.86006,7.945787302,264.017437,29.840247973320004,41612.75938,0.0,100.0,21.16722463,Frontière d'un anticyclone
10234.8258,7.484584532,264.0498049,30.1779749708,41447.77341,0.0,100.0,21.00238244,Frontière d'un anticyclone
10428.1373,6.655836151,264.0847505,30.54383355196,41089.6159,0.0,100.0,20.83428174,Frontière d'un anticyclone
10630.76458,5.787013219,264.1197957,30.903600571760002,40939.49745,0.0,100.0,20.68838551,Frontière d'un anticyclone
10786.28043,5.316636349,264.1440499,31.14871397556,40823.23256,0.0,100.0,20.6116139,Frontière d'un anticyclone
10870.47665,5.054667621,264.1565491,31.273811204759998,40708.08229,0.0,100.0,20.57162854,Frontière d'un anticyclone
10911.58121,4.884039702,264.1624706,31.332689599840005,40595.42896,0.0,100.0,20.55310674,Frontière d'un anticyclone
